10,812236,5000000,16.2447
10,812129,5000000,16.2426
10,5000000,5000000,100
10,5000000,5000000,100
10,5000000,5000000,100
10,5000000,5000000,100
10,5000000,5000000,100
10,5000000,5000000,100
10,5000000,5000000,100
10,5000000,5000000,100
20,763004,5000000,15.2601
20,763888,5000000,15.2778
20,5000000,5000000,100
20,5000000,5000000,100
20,5000000,5000000,100
20,5000000,5000000,100
20,5000000,5000000,100
20,5000000,5000000,100
20,5000000,5000000,100
20,5000000,5000000,100
50,762382,5000000,15.2476
50,762501,5000000,15.25
50,5000000,5000000,100
50,5000000,5000000,100
50,5000000,5000000,100
50,5000000,5000000,100
50,5000000,5000000,100
50,5000000,5000000,100
50,5000000,5000000,100
50,5000000,5000000,100
100,763632,5000000,15.2726
100,763530,5000000,15.2706
100,5000000,5000000,100
100,5000000,5000000,100
100,5000000,5000000,100
100,5000000,5000000,100
100,5000000,5000000,100
100,5000000,5000000,100
100,5000000,5000000,100
100,5000000,5000000,100
200,764983,5000000,15.2997
200,762216,5000000,15.2443
200,5000000,5000000,100
200,5000000,5000000,100
200,5000000,5000000,100
200,5000000,5000000,100
200,5000000,5000000,100
200,5000000,5000000,100
200,5000000,5000000,100
200,5000000,5000000,100
500,763973,5000000,15.2795
500,764081,5000000,15.2816
500,5000000,5000000,100
500,5000000,5000000,100
500,5000000,5000000,100
500,5000000,5000000,100
500,5000000,5000000,100
500,5000000,5000000,100
500,5000000,5000000,100
500,5000000,5000000,100
1000,761277,5000000,15.2255
1000,763555,5000000,15.2711
1000,5000000,5000000,100
1000,5000000,5000000,100
1000,5000000,5000000,100
1000,5000000,5000000,100
1000,5000000,5000000,100
1000,5000000,5000000,100
1000,5000000,5000000,100
1000,5000000,5000000,100
